nr,Name,Plate,Fibre Volume Fraction,Lab,Laminate ,Cut angle ,Manufacturer,Geometry,Material,taverage,wmax,wmin,waverage,area,Lnominal,Lmeasured,Lgauge,Radius (waist),TG and phase,Phase,start date,end date,Test type,R-value1,Fmax,Ferror,Fstatic,Ffatigue,"Fmax, 90",epsmax,epsstatic,epsfatigue,eps90,eps45,Nu,smax,"smax,static","smax, fatigue",shear strain,shear strength,shear modulus (near other moduli),Torquemax,Torquefatigue,Torquestatic,Ncycles,level,levelcalc,Nspectrum,failure mode,runout,R-value2,Fmax2,epsmax2,smax2,Ncycles2,ratedisplacement,f,f2,Eit,Eic,Eft,Efc,"Elur,front","Elur, back",eps_max_t,eps_max_c,Machine,control,grip,ABG,Temp.,Temp. control,Environment,Reference document,Remarks,Invalid ,Bending ,Buckling ,Overheating,Tab failure ,Delaminated ,Incomplete measurement data ,Strain from E ,LUR,TEC,data delivered under name,Repair characteristics,Strain measurement equipment (long),Strain measurement equipment (short),Grip pressure,time per test
2502,GEV215_S0242_0041,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,120.00,,1387,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0041, Ø32 mm, with taper (2)",,,,,
2503,GEV215_S0242_0040,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,120.00,,247599,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0040, Ø32 mm, with taper (2)",,,,,
2504,GEV215_S0242_0039,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,120.00,,650000,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0039, Ø32 mm, with taper (2)",,,,,
2505,GEV215_S0242_0038,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,110.00,,2018819,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0038, Ø32 mm, with taper (2)",,,,,
2506,GEV215_S0242_0037,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,110.00,,363697,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0037, Ø32 mm, with taper (2)",,,,,
2507,GEV215_S0242_0036,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,110.00,,771463,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0036, Ø32 mm, with taper (2)",,,,,
2508,GEV215_S0242_0035,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,100.00,,1956095,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0035, Ø32 mm, with taper (2)",,,,,
2509,GEV215_S0242_0034,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,85.00,,12000000,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0034, Ø32 mm, with taper (2)",,,,,
2510,GEV215_S0242_0033,fill in,#N/B,DLR,TUBE,na,LM,S0242,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,,,,,,,,,,,,,,,,,,#WAARDE!,100.00,,373281,,,,,,,,,,,,,,,,,,,,,,"100 kN/2000 Nm tension/torsion Instron 8502, DLR Structures and Design",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1",,,,,,,,,,,"previously named: GEV215_S1100_0033, Ø32 mm, with taper (2)",,,,,
2511,GEV215_S0243_0013,fill in,#N/B,DLR,TUBE,na,LM,S0243,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,4.23,,4.23,,,,,,,,,,,,,,,#WAARDE!,85.00,,72171,,,,,,,,,,,,3.00,,,,,,,,,,"1000 Nm 88603 Schenck torsion, DLR_IFB",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1, 3 Hz",,,,,,,,,,,"previously named: GEV215_S1100_0013, Ø33 mm, with taper (2), 17",,,,,6.68
2512,GEV215_S0243_0012,fill in,#N/B,DLR,TUBE,na,LM,S0243,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,4.23,,4.23,,,,,,,,,,,,,,,#WAARDE!,85.00,,4256,,,,,,,,,,,,3.00,,,,,,,,,,"1000 Nm 88603 Schenck torsion, DLR_IFB",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1, 3 Hz",,,,,,,,,,,"previously named: GEV215_S1100_0012, Ø33 mm, with taper (2), 16",,,,,0.39
2513,GEV215_S0243_0011,fill in,#N/B,DLR,TUBE,na,LM,S0243,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,4.23,,4.23,,,,,,,,,,,,,,,#WAARDE!,85.00,,116814,,,,,,,,,,,,3.00,,,,,,,,,,"1000 Nm 88603 Schenck torsion, DLR_IFB",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1, 3 Hz",,,,,,,,,,,"previously named: GEV215_S1100_0011, Ø33 mm, with taper (2), 15",,,,,10.82
2514,GEV215_S0243_0010,fill in,#N/B,DLR,TUBE,na,LM,S0243,GE1,,,,,,725,,175.00,,TG 2 phase I,I,,,TUCA,-1,4.23,,4.23,,,,,,,,,,,,,,,#WAARDE!,-85.00,,1318,,,,,,,,,,,,3.00,,,,,,,,,,"1000 Nm 88603 Schenck torsion, DLR_IFB",,,,,,"d, RT",OB_TG2_O003,"fatigue, R=-1, 3 Hz",,,,,,,,,,,"previously named: GEV215_S1100_0010, Ø33 mm, with taper (2), 14",,,,,0.12
2536,GEV207_S0300_0020,126,52.83,WMC,MD2,0,LM,S0300,GE1,6.53,25.43,25.13,25.29,165.36,610,,500.00,,TG 4 phase I,I,28/01/2005,28/01/2005,STT,,92.20,,92.20,,,2.44,2.44,,,,,558.21,558.21,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,27.15,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge; fibers seem slightly off-axis,,,,,,,,,,,,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2537,GEV207_S0300_0018,128,55.43,WMC,MD2,0,LM,S0300,GE1,6.42,25.99,25.66,25.77,164.67,610,,500.00,,TG 4 phase I,I,31/01/2005,31/01/2005,STT,,102.10,,102.10,,,2.52,2.52,,,,,617.47,617.47,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,29.30,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge,,,,,,,,,,,,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2538,GEV207_S0300_0015,128,55.43,WMC,MD2,0,LM,S0300,GE1,6.46,25.91,25.67,25.75,165.32,610,,500.00,,TG 4 phase I,I,31/01/2005,31/01/2005,STT,,101.20,,101.20,,,2.53,2.53,,,,,607.95,607.95,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,29.05,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge,,,,,,,,,,,s03015,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2539,GEV207_S0300_0012,128,55.43,WMC,MD2,0,LM,S0300,GE1,6.47,26.06,25.91,25.98,166.73,610,,500.00,,TG 4 phase I,I,28/01/2005,28/01/2005,STT,,106.20,,106.20,,,2.67,2.67,,,,,632.00,632.00,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,28.85,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge,,,,,,,,,,,s03012,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2540,GEV207_S0300_0011,128,55.43,WMC,MD2,0,LM,S0300,GE1,6.45,26.15,25.81,25.96,166.02,610,,500.00,,TG 4 phase I,I,28/01/2005,28/01/2005,STT,,100.00,,100.00,,,2.51,2.51,,,,,597.31,597.31,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,28.75,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge,,,,,,,,,,,s03011,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2541,GEV207_S0300_0009,128,55.43,WMC,MD2,0,LM,S0300,GE1,6.31,25.75,25.50,25.63,160.90,610,,500.00,,TG 4 phase I,I,28/01/2005,28/01/2005,STT,,101.20,,101.20,,,,,,,,,625.95,625.95,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,29.15,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge,,,,,,,,,,,s03009,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2542,GEV207_S0300_0008,128,55.43,WMC,MD2,0,LM,S0300,GE1,6.32,25.77,25.46,25.62,161.67,610,,500.00,,TG 4 phase I,I,28/01/2005,28/01/2005,STT,,103.60,,103.60,,,2.71,2.71,,,,,639.62,639.62,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,28.80,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,smax and Young's modulus and area pertain to cross-section area under strain gauge,,,,,,,,,,,s03008,,"Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2543,GEV207_S3600_0011,129,52.12,WMC,MD2,0,LM,S3600,GE1,7.09,24.84,24.68,24.74,188.00,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,78.80,,78.80,,,,,,,,,449.50,449.50,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.69;1.91;30.1;25.6 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0011,"1:100, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2544,GEV207_S3600_0010,129,52.12,WMC,MD2,0,LM,S3600,GE1,7.12,24.87,24.65,24.73,188.94,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,74.30,,74.30,,,,,,,,,422.27,422.27,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.81;1.54;25.4;29.8 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0010,"1:100, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2545,GEV207_S3600_0009,129,52.12,WMC,MD2,0,LM,S3600,GE1,7.06,24.93,24.68,24.79,188.82,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,82.20,,82.20,,,1.88,1.88,,,,,469.68,469.68,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.78;1.97;29.7;25.6 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0009,"1:100, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2546,GEV207_S3600_0008,129,52.12,WMC,MD2,0,LM,S3600,GE1,7.11,24.90,24.68,24.78,189.15,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,72.70,,72.70,,,,,,,,,412.57,412.57,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.49;1.71;30.5;25.9 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0008,"1:100, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2547,GEV207_S3600_0007,129,52.12,WMC,MD2,0,LM,S3600,GE1,7.05,24.89,24.70,24.76,187.58,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,84.40,,84.40,,,,,,,,,483.40,483.40,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 2.08;1.84;25.3;30 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0007,"1:100, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2548,GEV207_S3500_0014,132,53.64,WMC,MD2,0,LM,S3500,GE1,6.84,24.86,24.74,24.80,183.99,610,,500.00,,TG 4 phase I,I,02/02/2005,02/02/2005,STT,,77.30,,77.30,,,,,,,,,455.86,455.86,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.44;1.69;33.3;26.1 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0014,"1:100, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2549,GEV207_S3500_0013,132,53.64,WMC,MD2,0,LM,S3500,GE1,6.85,24.89,24.73,24.80,183.20,610,,500.00,,TG 4 phase I,I,02/02/2005,02/02/2005,STT,,74.30,,74.30,,,,,,,,,437.40,437.40,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.38;1.61;33.1;26.2 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0013,"1:100, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2550,GEV207_S3500_0012,132,53.64,WMC,MD2,0,LM,S3500,GE1,6.88,25.07,24.86,24.93,185.68,610,,500.00,,TG 4 phase I,I,02/02/2005,02/02/2005,STT,,76.00,,76.00,,,,,,,,,442.87,442.87,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.42;1.65;33.5;25.8 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0012,"1:100, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2551,GEV207_S3500_0011,132,53.64,WMC,MD2,0,LM,S3500,GE1,6.89,25.06,24.77,24.90,186.20,610,,500.00,,TG 4 phase I,I,01/02/2005,01/02/2005,STT,,81.60,,81.60,,,,,,,,,475.60,475.60,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.49;1.81;33.2;25.4 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0011,"1:100, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2552,GEV207_S3500_0009,132,53.64,WMC,MD2,0,LM,S3500,GE1,6.98,24.87,24.67,24.76,186.59,610,,500.00,,TG 4 phase I,I,01/02/2005,01/02/2005,STT,,80.80,,80.80,,,,,,,,,467.79,467.79,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.48;1.74;33.2;26.5 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0009,"1:100, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2553,GEV207_S3400_0014,130,53.50,WMC,MD2,0,LM,S3400,GE1,7.19,26.03,25.80,25.90,196.04,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,83.80,,83.80,,,,,,,,,449.91,449.91,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.82;1.54;26.2;31.4 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0014,"1:75, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2554,GEV207_S3400_0013,130,53.50,WMC,MD2,0,LM,S3400,GE1,7.22,26.11,25.88,25.97,197.66,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,79.90,,79.90,,,,,,,,,426.30,426.30,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.45;1.68;31.5;26.6 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0013,"1:75, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2555,GEV207_S3400_0012,130,53.50,WMC,MD2,0,LM,S3400,GE1,7.24,26.07,25.85,25.96,199.09,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,81.40,,81.40,,,,,,,,,433.16,433.16,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.39;1.7;32.7;26.6 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0012,"1:75, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2556,GEV207_S3400_0011,130,53.50,WMC,MD2,0,LM,S3400,GE1,7.21,26.09,25.83,25.96,198.57,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,74.50,,74.50,,,,,,,,,398.26,398.26,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.57;1.3;25.9;32.3 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0011,"1:75, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2557,GEV207_S3400_0010,134,54.57,WMC,MD2,0,LM,S3400,GE1,7.23,26.06,25.81,25.91,196.30,610,,500.00,,TG 4 phase I,I,03/02/2005,03/02/2005,STT,,79.90,,79.90,,,,,,,,,426.32,426.32,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.65;1.44;27.2;31.2 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0010,"1:75, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2558,GEV207_S3300_0012,134,54.57,WMC,MD2,0,LM,S3300,GE1,6.73,25.70,25.62,25.66,191.98,610,,500.00,,TG 4 phase I,I,01/02/2005,01/02/2005,STT,,78.10,,78.10,,,,,,,,,452.01,452.01,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.2;1.73;34.9;25.3 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0012,"1:75, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2559,GEV207_S3300_0011,134,54.57,WMC,MD2,0,LM,S3300,GE1,6.68,25.73,25.59,25.67,191.13,610,,500.00,,TG 4 phase I,I,01/02/2005,01/02/2005,STT,,81.40,,81.40,,,,,,,,,474.46,474.46,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.13;1.83;35.7;25.2 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0011,"1:75, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2560,GEV207_S3300_0009,134,54.57,WMC,MD2,0,LM,S3300,GE1,6.74,25.77,25.64,25.69,193.68,610,,500.00,,TG 4 phase I,I,31/01/2005,31/01/2005,STT,,80.10,,80.10,,,,,,,,,462.67,462.67,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.22;1.78;36.1;25.1 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0009,"1:75, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2561,GEV207_S3300_0008,134,54.57,WMC,MD2,0,LM,S3300,GE1,6.75,25.71,25.55,25.63,192.53,610,,500.00,,TG 4 phase I,I,31/01/2005,31/01/2005,STT,,76.00,,76.00,,,,,,,,,439.20,439.20,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.26;1.7;34.8;24.8 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0008,"1:75, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2562,GEV207_S3300_0007,134,54.57,WMC,MD2,0,LM,S3300,GE1,6.71,25.71,25.50,25.60,190.90,610,,500.00,,TG 4 phase I,I,31/01/2005,31/01/2005,STT,,73.80,,73.80,,,,,,,,,429.70,429.70,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.15;1.66;34.5;25 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0007,"1:75, 1/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2563,GEV207_S3200_0011,131,51.77,WMC,MD2,0,LM,S3200,GE1,7.55,25.80,25.66,25.71,200.80,610,,500.00,,TG 4 phase I,I,02/02/2005,02/02/2005,STT,,92.40,,92.40,,,,,,,,,476.30,476.30,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.6;2.01;33.6;25.4 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0011,"1:50, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
2564,GEV207_S3200_0010,131,51.77,WMC,MD2,0,LM,S3200,GE1,7.47,25.94,25.85,25.88,198.09,610,,500.00,,TG 4 phase I,I,02/02/2005,02/02/2005,STT,,88.10,,88.10,,,,,,,,,455.71,455.71,,,,,#WAARDE!,,,1,,,,,,,,,,,3.3,,,,,,,,,,,"400 kN Schenck, WMC",d,h,n,,,"d, RT",OB_TG4_R010,"smax and Young's modulus and area pertain to cross-section area under strain gauge, epsfront/eps back/Efront/Eback: 1.94;1.61;25.3;32.3 (back and front very different due to repair)",,,,,,,,,,,GEV207_S0400_0010,"1:50, 2/3","Strain gauge:   TML FLA-10-11, Middle, Center, BTB","SG, M, C, BTB",200,0.25
